issue_date,valid_month,percentile,dry_signal,wet_signal,anom_signed
2007-01-31,2007-01,14.285714285714285,1,0,35.714285714285715
2007-02-28,2007-02,42.857142857142854,0,0,7.142857142857146
2007-03-31,2007-03,35.714285714285715,0,0,14.285714285714285
2007-04-30,2007-04,35.714285714285715,0,0,14.285714285714285
2007-05-31,2007-05,14.285714285714285,1,0,35.714285714285715
2007-06-30,2007-06,35.714285714285715,0,0,14.285714285714285
2007-07-31,2007-07,100.0,0,1,-50.0
2007-08-31,2007-08,50.0,0,0,0.0
2007-09-30,2007-09,28.57142857142857,0,0,21.42857142857143
2007-10-31,2007-10,35.714285714285715,0,0,14.285714285714285
2007-11-30,2007-11,7.142857142857142,1,0,42.85714285714286
2007-12-31,2007-12,28.57142857142857,0,0,21.42857142857143
2008-01-31,2008-01,50.0,0,0,0.0
2008-02-29,2008-02,7.142857142857142,1,0,42.85714285714286
2008-03-31,2008-03,64.28571428571429,0,0,-14.285714285714292
2008-04-30,2008-04,64.28571428571429,0,0,-14.285714285714292
2008-05-31,2008-05,7.142857142857142,1,0,42.85714285714286
2008-06-30,2008-06,21.428571428571427,0,0,28.571428571428573
2008-07-31,2008-07,78.57142857142857,0,0,-28.57142857142857
2008-08-31,2008-08,78.57142857142857,0,0,-28.57142857142857
2008-09-30,2008-09,50.0,0,0,0.0
2008-10-31,2008-10,21.428571428571427,0,0,28.571428571428573
2008-11-30,2008-11,28.57142857142857,0,0,21.42857142857143
2008-12-31,2008-12,21.428571428571427,0,0,28.571428571428573
2009-01-31,2009-01,64.28571428571429,0,0,-14.285714285714292
2009-02-28,2009-02,78.57142857142857,0,0,-28.57142857142857
2009-03-31,2009-03,50.0,0,0,0.0
2009-04-30,2009-04,21.428571428571427,0,0,28.571428571428573
2009-05-31,2009-05,64.28571428571429,0,0,-14.285714285714292
2009-06-30,2009-06,92.85714285714286,0,1,-42.85714285714286
2009-07-31,2009-07,71.42857142857143,0,0,-21.42857142857143
2009-08-31,2009-08,42.857142857142854,0,0,7.142857142857146
2009-09-30,2009-09,7.142857142857142,1,0,42.85714285714286
2009-10-31,2009-10,7.142857142857142,1,0,42.85714285714286
2009-11-30,2009-11,57.14285714285714,0,0,-7.142857142857139
2009-12-31,2009-12,35.714285714285715,0,0,14.285714285714285
2010-01-31,2010-01,71.42857142857143,0,0,-21.42857142857143
2010-02-28,2010-02,71.42857142857143,0,0,-21.42857142857143
2010-03-31,2010-03,85.71428571428571,0,1,-35.71428571428571
2010-04-30,2010-04,71.42857142857143,0,0,-21.42857142857143
2010-05-31,2010-05,57.14285714285714,0,0,-7.142857142857139
2010-06-30,2010-06,64.28571428571429,0,0,-14.285714285714292
2010-07-31,2010-07,85.71428571428571,0,1,-35.71428571428571
2010-08-31,2010-08,85.71428571428571,0,1,-35.71428571428571
2010-09-30,2010-09,71.42857142857143,0,0,-21.42857142857143
2010-10-31,2010-10,64.28571428571429,0,0,-14.285714285714292
2010-11-30,2010-11,21.428571428571427,0,0,28.571428571428573
2010-12-31,2010-12,50.0,0,0,0.0
2011-01-31,2011-01,85.71428571428571,0,1,-35.71428571428571
2011-02-28,2011-02,100.0,0,1,-50.0
2011-03-31,2011-03,78.57142857142857,0,0,-28.57142857142857
2011-04-30,2011-04,42.857142857142854,0,0,7.142857142857146
2011-05-31,2011-05,28.57142857142857,0,0,21.42857142857143
2011-06-30,2011-06,57.14285714285714,0,0,-7.142857142857139
2011-07-31,2011-07,57.14285714285714,0,0,-7.142857142857139
2011-08-31,2011-08,35.714285714285715,0,0,14.285714285714285
2011-09-30,2011-09,85.71428571428571,0,1,-35.71428571428571
2011-10-31,2011-10,85.71428571428571,0,1,-35.71428571428571
2011-11-30,2011-11,14.285714285714285,1,0,35.714285714285715
2011-12-31,2011-12,42.857142857142854,0,0,7.142857142857146
2012-01-31,2012-01,28.57142857142857,0,0,21.42857142857143
2012-02-29,2012-02,28.57142857142857,0,0,21.42857142857143
2012-03-31,2012-03,7.142857142857142,1,0,42.85714285714286
2012-04-30,2012-04,28.57142857142857,0,0,21.42857142857143
2012-05-31,2012-05,78.57142857142857,0,0,-28.57142857142857
2012-06-30,2012-06,50.0,0,0,0.0
2012-07-31,2012-07,14.285714285714285,1,0,35.714285714285715
2012-08-31,2012-08,28.57142857142857,0,0,21.42857142857143
2012-09-30,2012-09,21.428571428571427,0,0,28.571428571428573
2012-10-31,2012-10,57.14285714285714,0,0,-7.142857142857139
2012-11-30,2012-11,50.0,0,0,0.0
2012-12-31,2012-12,92.85714285714286,0,1,-42.85714285714286
2013-01-31,2013-01,7.142857142857142,1,0,42.85714285714286
2013-02-28,2013-02,35.714285714285715,0,0,14.285714285714285
2013-03-31,2013-03,57.14285714285714,0,0,-7.142857142857139
2013-04-30,2013-04,57.14285714285714,0,0,-7.142857142857139
2013-05-31,2013-05,100.0,0,1,-50.0
2013-06-30,2013-06,7.142857142857142,1,0,42.85714285714286
2013-07-31,2013-07,21.428571428571427,0,0,28.571428571428573
2013-08-31,2013-08,14.285714285714285,1,0,35.714285714285715
2013-09-30,2013-09,42.857142857142854,0,0,7.142857142857146
2013-10-31,2013-10,28.57142857142857,0,0,21.42857142857143
2013-11-30,2013-11,85.71428571428571,0,1,-35.71428571428571
2013-12-31,2013-12,78.57142857142857,0,0,-28.57142857142857
2014-01-31,2014-01,85.71428571428571,0,1,-35.71428571428571
2014-02-28,2014-02,64.28571428571429,0,0,-14.285714285714292
2014-03-31,2014-03,71.42857142857143,0,0,-21.42857142857143
2014-04-30,2014-04,100.0,0,1,-50.0
2014-05-31,2014-05,50.0,0,0,0.0
2014-06-30,2014-06,85.71428571428571,0,1,-35.71428571428571
2014-07-31,2014-07,92.85714285714286,0,1,-42.85714285714286
2014-08-31,2014-08,71.42857142857143,0,0,-21.42857142857143
2014-09-30,2014-09,57.14285714285714,0,0,-7.142857142857139
2014-10-31,2014-10,14.285714285714285,1,0,35.714285714285715
2014-11-30,2014-11,42.857142857142854,0,0,7.142857142857146
2014-12-31,2014-12,57.14285714285714,0,0,-7.142857142857139
2015-01-31,2015-01,57.14285714285714,0,0,-7.142857142857139
2015-02-28,2015-02,85.71428571428571,0,1,-35.71428571428571
2015-03-31,2015-03,100.0,0,1,-50.0
2015-04-30,2015-04,92.85714285714286,0,1,-42.85714285714286
2015-05-31,2015-05,21.428571428571427,0,0,28.571428571428573
2015-06-30,2015-06,100.0,0,1,-50.0
2015-07-31,2015-07,35.714285714285715,0,0,14.285714285714285
2015-08-31,2015-08,21.428571428571427,0,0,28.571428571428573
2015-09-30,2015-09,14.285714285714285,1,0,35.714285714285715
2015-10-31,2015-10,78.57142857142857,0,0,-28.57142857142857
2015-11-30,2015-11,100.0,0,1,-50.0
2015-12-31,2015-12,7.142857142857142,1,0,42.85714285714286
2016-01-31,2016-01,42.857142857142854,0,0,7.142857142857146
2016-02-29,2016-02,21.428571428571427,0,0,28.571428571428573
2016-03-31,2016-03,42.857142857142854,0,0,7.142857142857146
2016-04-30,2016-04,7.142857142857142,1,0,42.85714285714286
2016-05-31,2016-05,92.85714285714286,0,1,-42.85714285714286
2016-06-30,2016-06,42.857142857142854,0,0,7.142857142857146
2016-07-31,2016-07,7.142857142857142,1,0,42.85714285714286
2016-08-31,2016-08,64.28571428571429,0,0,-14.285714285714292
2016-09-30,2016-09,78.57142857142857,0,0,-28.57142857142857
2016-10-31,2016-10,42.857142857142854,0,0,7.142857142857146
2016-11-30,2016-11,42.857142857142854,0,0,7.142857142857146
2016-12-31,2016-12,85.71428571428571,0,1,-35.71428571428571
2017-01-31,2017-01,100.0,0,1,-50.0
2017-02-28,2017-02,57.14285714285714,0,0,-7.142857142857139
2017-03-31,2017-03,14.285714285714285,1,0,35.714285714285715
2017-04-30,2017-04,78.57142857142857,0,0,-28.57142857142857
2017-05-31,2017-05,35.714285714285715,0,0,14.285714285714285
2017-06-30,2017-06,71.42857142857143,0,0,-21.42857142857143
2017-07-31,2017-07,28.57142857142857,0,0,21.42857142857143
2017-08-31,2017-08,92.85714285714286,0,1,-42.85714285714286
2017-09-30,2017-09,35.714285714285715,0,0,14.285714285714285
2017-10-31,2017-10,71.42857142857143,0,0,-21.42857142857143
2017-11-30,2017-11,92.85714285714286,0,1,-42.85714285714286
2017-12-31,2017-12,71.42857142857143,0,0,-21.42857142857143
2018-01-31,2018-01,35.714285714285715,0,0,14.285714285714285
2018-02-28,2018-02,92.85714285714286,0,1,-42.85714285714286
2018-03-31,2018-03,28.57142857142857,0,0,21.42857142857143
2018-04-30,2018-04,14.285714285714285,1,0,35.714285714285715
2018-05-31,2018-05,42.857142857142854,0,0,7.142857142857146
2018-06-30,2018-06,14.285714285714285,1,0,35.714285714285715
2018-07-31,2018-07,71.42857142857143,0,0,-21.42857142857143
2018-08-31,2018-08,100.0,0,1,-50.0
2018-09-30,2018-09,64.28571428571429,0,0,-14.285714285714292
2018-10-31,2018-10,50.0,0,0,0.0
2018-11-30,2018-11,71.42857142857143,0,0,-21.42857142857143
2018-12-31,2018-12,14.285714285714285,1,0,35.714285714285715
2019-01-31,2019-01,92.85714285714286,0,1,-42.85714285714286
2019-02-28,2019-02,57.14285714285714,0,0,-7.142857142857139
2019-03-31,2019-03,21.428571428571427,0,0,28.571428571428573
2019-04-30,2019-04,85.71428571428571,0,1,-35.71428571428571
2019-05-31,2019-05,85.71428571428571,0,1,-35.71428571428571
2019-06-30,2019-06,28.57142857142857,0,0,21.42857142857143
2019-07-31,2019-07,42.857142857142854,0,0,7.142857142857146
2019-08-31,2019-08,57.14285714285714,0,0,-7.142857142857139
2019-09-30,2019-09,100.0,0,1,-50.0
2019-10-31,2019-10,92.85714285714286,0,1,-42.85714285714286
2019-11-30,2019-11,64.28571428571429,0,0,-14.285714285714292
2019-12-31,2019-12,64.28571428571429,0,0,-14.285714285714292
2020-01-31,2020-01,21.428571428571427,0,0,28.571428571428573
2020-02-29,2020-02,14.285714285714285,1,0,35.714285714285715
2020-03-31,2020-03,92.85714285714286,0,1,-42.85714285714286
2020-04-30,2020-04,50.0,0,0,0.0
2020-05-31,2020-05,71.42857142857143,0,0,-21.42857142857143
2020-06-30,2020-06,78.57142857142857,0,0,-28.57142857142857
2020-07-31,2020-07,50.0,0,0,0.0
2020-08-31,2020-08,7.142857142857142,1,0,42.85714285714286
2020-09-30,2020-09,92.85714285714286,0,1,-42.85714285714286
2020-10-31,2020-10,100.0,0,1,-50.0
2020-11-30,2020-11,78.57142857142857,0,0,-28.57142857142857
2020-12-31,2020-12,100.0,0,1,-50.0
2021-01-31,2021-01,100.0,0,1,-50.0
2021-02-28,2021-02,71.42857142857143,0,0,-21.42857142857143
2021-03-31,2021-03,57.14285714285714,0,0,-7.142857142857139
2021-04-30,2021-04,50.0,0,0,0.0
2021-05-31,2021-05,0.0,1,0,50.0
2021-06-30,2021-06,28.57142857142857,0,0,21.42857142857143
2021-07-31,2021-07,100.0,0,1,-50.0
2021-08-31,2021-08,100.0,0,1,-50.0
2021-09-30,2021-09,100.0,0,1,-50.0
2021-10-31,2021-10,50.0,0,0,0.0
2021-11-30,2021-11,64.28571428571429,0,0,-14.285714285714292
2021-12-31,2021-12,71.42857142857143,0,0,-21.42857142857143
2022-01-31,2022-01,92.85714285714286,0,1,-42.85714285714286
2022-02-28,2022-02,14.285714285714285,1,0,35.714285714285715
2022-03-31,2022-03,7.142857142857142,1,0,42.85714285714286
